model,runtime
pre_act_resnet_18_0.1_1e-2_1e-2_sgd,0.4514920711517334
pre_act_resnet_18_0.1_1e-2_1e-2_Adam,0.48827171325683594
pre_act_resnet_18_0.1_1e-4_1e-4_sgd,0.472121000289917
pre_act_resnet_18_0.1_1e-4_1e-4_Adam,0.42452478408813477
pre_act_resnet_18_0.01_1e-3_1e-3_sgd,0.4382302761077881
pre_act_resnet_18_0.01_1e-3_1e-3_Adam,0.46219372749328613
pre_act_resnet_18_0.01_1e-2_1e-2_sgd,0.47603726387023926
pre_act_resnet_18_0.01_1e-2_1e-2_Adam,0.4489126205444336
pre_act_resnet_18_0.01_1e-4_1e-4_sgd,0.45996618270874023
pre_act_resnet_18_0.01_1e-4_1e-4_Adam,0.42742443084716797
pre_act_resnet_18_0.8_1e-3_1e-3_sgd,0.44101572036743164
pre_act_resnet_18_0.8_1e-3_1e-3_Adam,0.41565561294555664
pre_act_resnet_18_0.8_1e-2_1e-2_sgd,0.4709930419921875
pre_act_resnet_18_0.8_1e-2_1e-2_Adam,0.43843817710876465
pre_act_resnet_18_0.8_1e-4_1e-4_sgd,0.42964601516723633
pre_act_resnet_18_0.8_1e-4_1e-4_Adam,0.40216588973999023
pre_act_resnet_34_0.1_1e-3_1e-3_sgd,0.45601320266723633
pre_act_resnet_34_0.1_1e-3_1e-3_Adam,0.42290687561035156
pre_act_resnet_34_0.1_1e-2_1e-2_sgd,0.403270959854126
pre_act_resnet_34_0.1_1e-2_1e-2_Adam,0.44695448875427246
pre_act_resnet_34_0.1_1e-4_1e-4_sgd,0.4575917720794678
pre_act_resnet_34_0.1_1e-4_1e-4_Adam,0.4421396255493164
pre_act_resnet_34_0.01_1e-3_1e-3_sgd,0.4221060276031494
pre_act_resnet_34_0.01_1e-3_1e-3_Adam,0.4538724422454834
pre_act_resnet_34_0.01_1e-2_1e-2_sgd,0.4530966281890869
pre_act_resnet_34_0.01_1e-2_1e-2_Adam,0.4277675151824951
pre_act_resnet_34_0.01_1e-4_1e-4_sgd,0.4531102180480957
pre_act_resnet_34_0.01_1e-4_1e-4_Adam,0.43602538108825684
pre_act_resnet_34_0.8_1e-3_1e-3_sgd,0.4262404441833496
pre_act_resnet_34_0.8_1e-3_1e-3_Adam,0.4536583423614502
pre_act_resnet_34_0.8_1e-2_1e-2_sgd,0.44637537002563477
pre_act_resnet_34_0.8_1e-2_1e-2_Adam,0.43412232398986816
pre_act_resnet_34_0.8_1e-4_1e-4_sgd,0.4261438846588135
pre_act_resnet_34_0.8_1e-4_1e-4_Adam,0.4979534149169922
resnext_10_0.1_1e-3_1e-3_sgd,0.4849681854248047
resnext_10_0.1_1e-3_1e-3_Adam,0.4527294635772705
resnext_10_0.1_1e-2_1e-2_sgd,0.46460604667663574
resnext_10_0.1_1e-2_1e-2_Adam,0.4393587112426758
resnext_10_0.1_1e-4_1e-4_sgd,0.44788479804992676
resnext_10_0.1_1e-4_1e-4_Adam,0.45048975944519043
resnext_10_0.01_1e-3_1e-3_sgd,0.4598715305328369
resnext_10_0.01_1e-3_1e-3_Adam,0.46203041076660156
resnext_10_0.01_1e-2_1e-2_sgd,0.45998644828796387
resnext_10_0.01_1e-2_1e-2_Adam,0.4230611324310303
resnext_10_0.01_1e-4_1e-4_sgd,0.4240717887878418
resnext_10_0.01_1e-4_1e-4_Adam,0.4299662113189697
resnext_10_0.8_1e-3_1e-3_sgd,0.4468722343444824
resnext_10_0.8_1e-3_1e-3_Adam,0.4434394836425781
resnext_10_0.8_1e-2_1e-2_sgd,0.4317922592163086
resnext_10_0.8_1e-2_1e-2_Adam,0.4250211715698242
resnext_10_0.8_1e-4_1e-4_sgd,0.4256613254547119
resnext_10_0.8_1e-4_1e-4_Adam,0.42336010932922363
resnext_18_0.1_1e-3_1e-3_sgd,0.4309511184692383
resnext_18_0.1_1e-3_1e-3_Adam,0.4443049430847168
resnext_18_0.1_1e-2_1e-2_sgd,0.42670249938964844
resnext_18_0.1_1e-2_1e-2_Adam,0.4229245185852051
resnext_18_0.1_1e-4_1e-4_sgd,0.4276449680328369
resnext_18_0.1_1e-4_1e-4_Adam,0.4294447898864746
resnext_18_0.01_1e-3_1e-3_sgd,0.44152379035949707
resnext_18_0.01_1e-3_1e-3_Adam,0.4554874897003174
resnext_18_0.01_1e-2_1e-2_sgd,0.4447050094604492
resnext_18_0.01_1e-2_1e-2_Adam,0.42882752418518066
resnext_18_0.01_1e-4_1e-4_sgd,0.43397974967956543
resnext_18_0.01_1e-4_1e-4_Adam,0.4206881523132324
resnext_18_0.8_1e-3_1e-3_sgd,0.42760348320007324
resnext_18_0.8_1e-3_1e-3_Adam,0.4211452007293701
resnext_18_0.8_1e-2_1e-2_sgd,0.44565749168395996
resnext_18_0.8_1e-2_1e-2_Adam,0.44693732261657715
resnext_18_0.8_1e-4_1e-4_sgd,0.4230766296386719
resnext_18_0.8_1e-4_1e-4_Adam,0.43117380142211914
resnext_34_0.1_1e-3_1e-3_sgd,0.4244697093963623
resnext_34_0.1_1e-3_1e-3_Adam,0.42206335067749023
resnext_34_0.1_1e-2_1e-2_sgd,0.4364316463470459
resnext_34_0.1_1e-2_1e-2_Adam,0.4220921993255615
resnext_34_0.1_1e-4_1e-4_sgd,0.43452978134155273
resnext_34_0.1_1e-4_1e-4_Adam,0.4312622547149658
resnext_34_0.01_1e-3_1e-3_sgd,0.43492984771728516
resnext_34_0.01_1e-3_1e-3_Adam,0.48879122734069824
resnext_34_0.01_1e-2_1e-2_sgd,0.4737203121185303
resnext_34_0.01_1e-2_1e-2_Adam,0.5106816291809082
resnext_34_0.01_1e-4_1e-4_sgd,0.5108580589294434
resnext_34_0.01_1e-4_1e-4_Adam,0.5078818798065186
resnext_34_0.8_1e-3_1e-3_sgd,0.4927978515625
resnext_34_0.8_1e-3_1e-3_Adam,0.4893169403076172
resnext_34_0.8_1e-2_1e-2_sgd,0.46178340911865234
resnext_34_0.8_1e-2_1e-2_Adam,0.501267671585083
resnext_34_0.8_1e-4_1e-4_sgd,0.5161845684051514
resnext_34_0.8_1e-4_1e-4_Adam,0.5376768112182617
wideresnet_10_0.1_1e-3_1e-3_sgd,0.5562806129455566
wideresnet_10_0.1_1e-3_1e-3_Adam,0.4803767204284668
wideresnet_10_0.1_1e-2_1e-2_sgd,0.5027399063110352
wideresnet_10_0.1_1e-2_1e-2_Adam,0.43357086181640625
wideresnet_10_0.1_1e-4_1e-4_sgd,0.48447394371032715
wideresnet_10_0.1_1e-4_1e-4_Adam,0.5059115886688232
wideresnet_10_0.01_1e-3_1e-3_sgd,0.5380764007568359
wideresnet_10_0.01_1e-3_1e-3_Adam,0.47067952156066895
wideresnet_10_0.01_1e-2_1e-2_sgd,0.4452066421508789
wideresnet_10_0.01_1e-2_1e-2_Adam,0.4813232421875
wideresnet_10_0.01_1e-4_1e-4_sgd,0.46492457389831543
wideresnet_10_0.01_1e-4_1e-4_Adam,0.46293163299560547
wideresnet_10_0.8_1e-3_1e-3_sgd,0.45446181297302246
wideresnet_10_0.8_1e-3_1e-3_Adam,0.4507029056549072
wideresnet_10_0.8_1e-2_1e-2_sgd,0.432265043258667
wideresnet_10_0.8_1e-2_1e-2_Adam,0.4388437271118164
wideresnet_10_0.8_1e-4_1e-4_sgd,0.4671969413757324
wideresnet_10_0.8_1e-4_1e-4_Adam,0.464658260345459
wideresnet_18_0.1_1e-3_1e-3_sgd,0.43025851249694824
wideresnet_18_0.1_1e-3_1e-3_Adam,0.4418776035308838
wideresnet_18_0.1_1e-2_1e-2_sgd,0.42851686477661133
